#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
29,"Dead","Madison Beer",56,103,"pop","Pop","As She Pleases",2018-02-02,03:14,60,70,40,0,55,10,10,-5,D Minor,4,2024-10-23,330CwDQh6mZ9yAWnJ1svDL,"Access Records",7A,UKELY1700020
30,"Funeral","Miguel",36,96,"r&b, urban contemporary","R&B, Hip Hop","Funeral",2019-11-01,02:15,74,31,4,3,17,0,10,-10,D Major,4,2024-10-23,782CIMTujSmNFrRuAVhsqd,"ByStorm Entertainment/RCA Records",10B,USRC11903399
31,"Tincture","Feral Fauna,KR3TURE,Heather Christie",17,78,"livetronica, high vibe","New age, Electronic","Tincture",2016-04-07,03:48,58,38,5,6,15,0,40,-9,C♯/D♭ Minor,4,2024-10-23,1CKJN45upeUyngcvfn4VEg,"Artist Intelligence Agency",12A,QMWZB1511666
32,"Devil","Two Feet",47,100,"indie poptimism, modern rock","Pop, Rock","Shape & Form",2022-05-13,02:40,71,66,0,20,58,0,20,-5,F#/G♭ Minor,4,2024-10-23,1xKqbhFvRsZsSJa68zwN8a,"Two Feet",11A,GBKPL2156800
33,"Halloween","JP Ashkar",48,86,"","","Halloween",2021-11-05,02:22,83,24,84,0,61,0,10,-9,B Major,4,2024-10-23,24ST41RVrs1tyjqLIyd6d6,"1945742 Records DK",1B,QZNWX2142524
34,"Demons","Dennis Lloyd",39,126,"israeli pop","Pop","Demons",2016-03-01,02:57,57,37,57,0,22,10,0,-10,G Minor,4,2024-10-23,7AmXI4suuSX87eUXybDHM9,"Dennis Lloyd",6A,uscgj1781316
35,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes,Justin Bieber",67,146,"canadian pop, pop, viral pop","Pop","Monster",2020-11-20,02:58,65,38,7,0,55,0,0,-7,D Minor,4,2024-10-23,2Z8yfpFX0ZMavHkcIeHiO1,"Shawn Mendes LP4-5 PS/ Island",7A,USUM72018810
36,"halloween","wavvyboi",0,97,"german hyperpop, liechtenstein","Pop, Metal","all die engel & daemonen sind wir selbst",2022-09-09,02:50,63,61,8,0,42,0,10,-6,D Minor,4,2024-10-23,33oEbymLjze89hbPGLybtD,"Space Music Records",7A,DEQ022290585
37,"The Devil","BANKS",0,94,"art pop, electropop, indie poptimism, indietronica, shimmer pop","Pop","Serpentina",2022-04-08,02:47,71,61,20,2,55,10,20,-10,A#/B♭ Minor,4,2024-10-23,0RVmQhPYqnyCGzIPo6K5cs,"Her Name is Banks, Inc.",3A,GBKPL2153674
38,"Vampire","Nitemayor",0,100,"","","Vampire",2015-10-16,03:34,73,65,14,0,73,10,20,-4,G Minor,4,2024-10-23,56WkfBKWfbvauMgeK8nivR,"Nice Life",6A,TCACJ1522808
39,"The Horror Of Our Love","Ludo",39,150,"tulsa indie","Country","You're Awful, I Love You",2007-01-01,04:28,41,53,19,0,17,0,10,-7,D Major,4,2024-10-23,1j7q33fQyWZEDsG4Q1nIDr,"Island Def Jam",10B,USUM70767139
40,"Goosebumps Original Theme Song","Jack Lenz",57,105,"canadian soundtrack","Easy listening","Goosebumps (Original Television Soundtrack)",2022-02-24,01:04,76,91,10,10,74,0,0,-9,A Minor,4,2024-10-23,0gs6G0qcP6yXVBntg8PC3L,"Enjoy the Toons Records",8A,uscgj2200311
41,"Freaking Me Out","Ava Max",52,98,"pop","Pop","Freaking Me Out",2019-07-31,03:12,43,55,46,0,38,0,0,-5,C♯/D♭ Minor,4,2024-10-23,7uYIX9O9DY6l1D3HiwHR1J,"Atlantic Records",12A,USAT21904201
42,"Graveyard","Halsey",62,92,"electropop, etherpop, indie poptimism, pop","Pop","Manic",2020-01-17,03:01,67,58,23,0,19,0,10,-5,B Minor,4,2024-10-23,2ufmtcIFdFpuUYBPXK5f67,"Capitol Records",10A,USUM71917563
