#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
66,"Floating (feat. Khalid) [filous Remix]","Alina Baraz,filous,Khalid",53,90,"etherpop, deep tropical house, tropical house, pop, pop r&b","Electronic, Pop, R&B","Floating (feat. Khalid) [filous Remix]",2019-02-08,03:20,76,61,47,0,62,10,10,-7,C♯/D♭ Minor,4,2024-10-06,4PlbUZ7l0HPZFcTf31hrkt,"Mom+Pop",12A,USQE91500796
67,"Stay Close","Koastle,DLG.",56,94,"stutter house, ","Electronic","Stay Close",2021-03-25,02:42,75,43,18,0,39,10,30,-7,F Minor,4,2024-10-06,78cZf7Lvdd4hZsIqOWze2Z,"2855052 Records DK2",4A,QZDA62118363
68,"Bright Lights","HAEVN",40,98,"dutch pop","Pop","Eyes Closed",2018-09-14,03:44,69,35,52,2,30,0,10,-12,D Minor,4,2024-10-06,1AoljH1xXmvlHLbE7o4LWF,"Nettwerk Music Group Inc.",7A,NLL8M1600262
69,"Shivers","Ed Sheeran",82,141,"pop, singer-songwriter pop, uk pop","Pop","=",2021-10-25,03:27,79,86,28,0,82,0,0,-3,D Major,4,2024-10-06,50nfwKoDiSYg8zOCREWAm5,"Atlantic Records UK",10B,GBAHS2100671
70,"Last Time","Sickick",36,100,"bass trap","Hip Hop","Last Time",2019-12-20,03:19,81,86,44,0,50,10,50,-5,F Major,4,2024-10-06,669Ev1r4GnyfxCJajgjyw5,"SICK UNIVERSE CORP",7B,QZK6P1957934
71,"Slipping","Quinn Lewis",15,96,"singer-songwriter pop","Pop","Slipping",2017-07-28,03:25,69,52,43,0,27,0,10,-9,E Minor,4,2024-10-06,1WM2ooWExDAAk7YO8e5vNa,"Quinn Lewis",9A,GBKPL1784205
72,"Magic","Rudy Mancuso,Maia Mitchell",39,94,"","","Magic",2018-03-02,03:14,80,59,40,15,27,0,10,-10,A Minor,4,2024-10-06,2DvgLLX2ByteZyFz8ByGX4,"Shots Studios Music",8A,QM24S1803129
73,"Honey (with Muni Long)","John Legend,Muni Long",40,90,"neo soul, pop, pop soul, urban contemporary, indie r&b","R&B, Pop, Hip Hop","LEGEND",2022-09-09,02:20,58,60,3,0,22,0,20,-4,A Minor,4,2024-10-06,1ei5bZDXeMNU4rw3iEQ2zX,"Republic Records",8A,USUG12204222
74,"Black Mercedes","Mark Diamond",31,92,"","","Black Mercedes",2018-04-13,02:46,77,45,44,3,60,10,20,-11,G#/A♭ Minor,4,2024-10-06,2GUpkSc8Z36JXkRF5mXPtr,"Superbloom",1A,QZ33C1700050
75,"Guilty","Sevyn Streeter,Chris Brown,A$AP Ferg",20,92,"hip pop, r&b, trap queen, urban contemporary, rap, hip hop, pop rap, southern hip hop, trap","Hip Hop, Pop, R&B","Guilty",2021-02-12,03:41,63,68,16,0,55,10,10,-4,C♯/D♭ Major,4,2024-10-06,1KhB9YpN4zfdQeFFfH5hem,"eOne Urban",3B,USKO12100016
76,"Don't Pretend","Khalid,SAFE",51,89,"pop, pop r&b, canadian hip hop","Hip Hop, Pop, R&B","Free Spirit",2019-04-05,02:45,70,55,26,1,22,0,10,-9,B Major,4,2024-10-06,1E6DEDWDKHoOW0fcFuDghV,"Right Hand Music Group, LLC/RCA Records",1B,USRC11900436
77,"But Now a Warm Feel Is Running","Fhin",24,90,"electro-pop francais, new french touch","R&B, Electronic","A Crack in the Eyes",2016-06-17,05:02,80,28,35,4,10,0,20,-11,D Minor,4,2024-10-06,6txV9XNQ9AEl7NA40PARPA,"Delicieuse Records",7A,FR9W11513533
78,"The Other Side","Axel Mansoor",26,87,"la pop","Pop","The Other Side",2019-02-01,03:02,68,64,55,0,40,0,10,-7,D Minor,4,2024-10-06,3TdfoKU4NFq21j65ltPTYM,"Axel Mansoor",7A,US7VG1879857
79,"exclusive","clear eyes,slenderbodies",25,90,"vapor soul","R&B","dreaming of flying",2022-05-08,03:11,70,36,88,15,45,20,10,-12,B Minor,4,2024-10-06,6VtJuDrV8YbqNpQkfMtnpa,"clear eyes",10A,QZN882208846
80,"Joyride","SONIA",32,168,"","","Joyride",2019-09-13,02:41,74,68,54,0,40,10,10,-5,A#/B♭ Minor,4,2024-10-06,5lBP49wdNHz8eMTIbi3bfb,"It's Not Master Recording, LLC",3A,QZJCG1900001
81,"in my mind","Wallners",52,95,"vienna indie","Pop","in my mind",2020-09-04,03:01,58,41,93,94,36,0,10,-13,C Minor,4,2024-10-06,6HEJavNON4wd0cy1Hp6KV2,"Universal Music GmbH",5A,ATUM72000088
82,"we've been loving in silence","MARO",53,85,"musica portuguesa contemporanea","World/Traditional","can you see me?",2022-08-26,03:04,43,30,42,0,57,0,30,-11,F#/G♭ Minor,4,2024-10-06,1PVry2CqklxStqzM0kl3Kv,"SECCA Records, Distributed by Venice Music",11A,QZLBC2200180
