Track Name,Artist Name(s),Index,Starting energy,Ending energy,BPM,Genres,Acousticness,Difficulty,Familiarity,Transition type,Notes,Set,DJ
Jump,"Tyla,Gunna,Skillibeng","Jump.Tyla,Gunna,Skillibeng",3,3,100,Afrobeats,0.6,4,2,None,,2024-06-02,Connie Wang
Green Tea & Honey,"Dane Amar,Jereena Montemayor","Green Tea & Honey.Dane Amar,Jereena Montemayor",2,2,95,"Singer songwriter, R&B",1.0,1,3,None,End at 3:37,2024-06-02,Connie Wang
Waves - Acoustic,Dean Lewis,Waves - Acoustic.Dean Lewis,1,2,89,Singer songwriter,0.8,4,4,Rising,,2024-06-02,Connie Wang
Sugar Honey Iced Tea (S.H.I.T.),Princess Nokia,Sugar Honey Iced Tea (S.H.I.T.).Princess Nokia,3,3,95,"Rap, Baddie pop",0.4,3,3,None,Explicit,2024-06-02,Connie Wang
Thinkin Bout You,Ciara,Thinkin Bout You.Ciara,3,3,107,Pop,0.4,1,4,None,,2024-06-02,Connie Wang
Forgive Me,"Sofi Tukker,Mahmut Orhan","Forgive Me.Sofi Tukker,Mahmut Orhan",2,3,100,Electropop,0.2,4,4,Rising,,2024-06-02,Connie Wang
Thoughts,Sasha Alex Sloan,Thoughts.Sasha Alex Sloan,2,2,90,Singer songwriter,0.5,2,2,None,,2024-06-02,Connie Wang
Breathe,Years & Years,Breathe.Years & Years,3,2,92,Pop,0.3,2,4,Falling,,2024-06-02,Connie Wang
Stuck In My Head (feat. AJ Mitchell),"Captain Cuts,AJ Mitchell","Stuck In My Head (feat. AJ Mitchell).Captain Cuts,AJ Mitchell",2,3,102,Pop,0.2,1,4,Rising,,2024-06-02,Connie Wang
365,"Zedd,Katy Perry","365.Zedd,Katy Perry",3,3,98,Pop,0.3,3,4,None,Samba rhythm,2024-06-02,Connie Wang
Georgia On My Mind,Allen Stone,Georgia On My Mind.Allen Stone,3,3,77,"Singer songwriter, Covers",0.9,2,4,None,,2024-06-02,Connie Wang
Lock Shit Down,"Chali 2na,Talib Kweli","Lock Shit Down.Chali 2na,Talib Kweli",2,2,95,"Angry Cali Late Nite, Rap",0.4,1,4,None,Explicit,2024-06-02,Connie Wang
Falling,Harry Styles,Falling.Harry Styles,2,1,110,Drama pop,0.9,4,3,Falling,End at 3:48,2024-06-02,Connie Wang
Memo,Olly Alexander (Years & Years),Memo.Olly Alexander (Years & Years),1,1,84,Late night,0.2,2,4,None,,2024-06-02,Connie Wang
WOW - Unplugged,Janine,WOW - Unplugged.Janine,2,2,100,"Singer songwriter, Covers",0.9,3,4,None,Explicit,2024-06-02,Connie Wang
Bonafide (feat. Chiiild),"Emotional Oranges,Chiiild","Bonafide (feat. Chiiild).Emotional Oranges,Chiiild",2,3,98,R&B,0.5,1,3,Rising,,2024-06-02,Connie Wang
Supermagic,Ellery Bonham,Supermagic.Ellery Bonham,2,2,89,Singer songwriter,0.9,1,3,None,Explicit,2024-06-02,Connie Wang
Cool Again,Shoffy,Cool Again.Shoffy,2,3,90,Pop,0.4,2,5,Rising,,2024-04-27,Connie Wang
911,Teddy Swims,911.Teddy Swims,3,3,99,R&B,0.4,1,4,None,Explicit (lightly),2024-04-27,Connie Wang
Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix,"Ally Brooke,A Boogie Wit da Hoodie,R3HAB","Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix.Ally Brooke,A Boogie Wit da Hoodie,R3HAB",3,4,100,Pop,0.2,2,2,Rising,Latin rhythm,2024-04-27,Connie Wang
Push,EquallyOpposite,Push.EquallyOpposite,3,3,104,Rap,0.3,2,3,None,,2024-04-27,Connie Wang
You're the One That I Want,"Dylan Rockoff,Caroline Kole","You're the One That I Want.Dylan Rockoff,Caroline Kole",3,2,85,"Singer songwriter, Covers",0.9,1,4,Falling,,2024-04-27,Connie Wang
Guilty as Sin?,Taylor Swift,Guilty as Sin?.Taylor Swift,3,2,97,Pop,0.5,1,5,Falling,,2024-04-27,Connie Wang
Nuttin' But Love,Heavy D & The Boyz,Nuttin' But Love.Heavy D & The Boyz,3,3,101,"Hip hop, Oldies",0.7,1,3,None,,2024-04-27,Connie Wang
Sing It With Me,"JP Cooper,Astrid S","Sing It With Me.JP Cooper,Astrid S",3,4,112,Pop,0.4,2,3,Rising,,2024-04-27,Connie Wang
Semblant,Laurence Nerbonne,Semblant.Laurence Nerbonne,3,3,98,"Pop, Non-english",0.3,1,2,None,,2024-04-27,Connie Wang
Orion's Belt,Sabrina Claudio,Orion's Belt.Sabrina Claudio,2,2,84,R&B,0.4,2,4,None,,2024-04-27,Connie Wang
He's A Tramp,Melody Gardot,He's A Tramp.Melody Gardot,3,3,105,"Jazz blues, Covers",0.8,1,3,None,,2024-04-27,Connie Wang
Wonderwall,TEEMID,Wonderwall.TEEMID,3,3,100,"Electropop, Covers",0.1,2,3,None,,2024-04-27,Connie Wang
Into You,Ariana Grande,Into You.Ariana Grande,3,4,108,Pop,0.2,2,5,Rising,,2024-04-27,Connie Wang
Water Under the Bridge,Adele,Water Under the Bridge.Adele,4,3,95,Pop,0.0,1,5,Falling,,2024-04-27,Connie Wang
Eyes Closed,Ed Sheeran,Eyes Closed.Ed Sheeran,2,3,107,Singer songwriter,0.5,2,5,Rising,,2024-04-27,Connie Wang
"Leave (Get Out) - Recorded at Metropolis Studios, London",Anne-Marie,"Leave (Get Out) - Recorded at Metropolis Studios, London.Anne-Marie",2,3,86,"Covers, R&B",0.9,3,3,Rising,,2024-04-27,Connie Wang
The Devil,BANKS,The Devil.BANKS,3,3,94,Baddie pop,0.2,2,3,None,,2024-04-27,Connie Wang
edamame,"bbno$,Rich Brian","edamame.bbno$,Rich Brian",4,4,106,Rap,0.2,2,5,None,Clean version,2024-04-27,Connie Wang
greedy,Tate McRae,greedy.Tate McRae,3,3,112,Baddie pop,0.3,3,4,None,Explicit,2024-04-27,Connie Wang
Straight Up,Paula Abdul,Straight Up.Paula Abdul,4,3,96,Throwback,0.3,1,5,Falling,,2024-04-27,Connie Wang
Slow Jamz,Max Frost,Slow Jamz.Max Frost,3,3,85,Pop,0.4,1,4,None,Explicit (lightly),2024-04-27,Connie Wang
sun and moon,anees,sun and moon.anees,3,2,90,Singer songwriter,0.8,2,4,Falling,,2024-04-27,Connie Wang
How Will I Know,Sam Smith,How Will I Know.Sam Smith,2,1,85,Drama pop,0.9,3,4,Falling,,2024-04-27,Connie Wang
Dive,Olivia Dean,Dive.Olivia Dean,2,2,90,Funk pop,0.5,2,2,None,Fade out at 3:05,2024-04-27,Connie Wang
Forget Me,Lewis Capaldi,Forget Me.Lewis Capaldi,3,3,102,Pop,0.4,2,4,None,,2024-04-27,Connie Wang
nuh uh,Jades Goudreault,nuh uh.Jades Goudreault,3,4,98,Baddie pop,0.1,3,3,Rising,Samba rhythm,2024-04-27,Connie Wang
Caught Up,USHER,Caught Up.USHER,3,3,110,Throwback,0.4,1,5,None,,2024-04-27,Connie Wang
Lie,Sasha Alex Sloan,Lie.Sasha Alex Sloan,3,2,104,Singer songwriter,0.4,2,2,Falling,,2024-04-27,Connie Wang
Let There Be Love,Nat King Cole,Let There Be Love.Nat King Cole,2,3,120,Oldies,0.9,3,5,Rising,,2024-04-27,Connie Wang
Tea,Noah Davis,Tea.Noah Davis,3,3,88,Baddie pop,0.3,1,3,None,Explicit,2024-04-27,Connie Wang
Next Big Thing,West Rose,Next Big Thing.West Rose,4,4,104,Baddie pop,0.4,3,2,None,,2024-04-27,Connie Wang
Kissing Other People,Lennon Stella,Kissing Other People.Lennon Stella,3,3,94,Pop,0.3,2,4,None,,2024-04-27,Connie Wang
Glass of Whisky,Sara Diamond,Glass of Whisky.Sara Diamond,2,2,84,R&B,0.5,2,4,None,,2024-04-27,Connie Wang
Ring Pop - Stripped,Jax,Ring Pop - Stripped.Jax,1,1,85,Singer songwriter,0.9,4,2,None,,2024-04-27,Connie Wang
Au soleil - Souvenirs d'été,Marie-Flore,Au soleil - Souvenirs d'été.Marie-Flore,2,3,100,"Late night, Non-english",0.2,3,2,Rising,Very light latin beat,2024-04-27,Connie Wang
People I Don't Like,UPSAHL,People I Don't Like.UPSAHL,3,3,90,Baddie pop,0.2,1,4,None,,2024-04-27,Connie Wang
Leave It Alone,"Vandelux,Tyler Mann","Leave It Alone.Vandelux,Tyler Mann",3,3,108,Electropop,0.1,2,4,None,"Explicit, Sofi tucker vibes",2024-04-27,Connie Wang
RED,Blake and Miles,RED.Blake and Miles,2,3,95,"Pop, Rap",0.4,2,3,Rising,Explicit,2024-04-27,Connie Wang
Free Fallin' - Live at the Nokia Theatre,John Mayer,Free Fallin' - Live at the Nokia Theatre.John Mayer,1,2,86,"Singer songwriter, Covers",0.8,2,5,Rising,Fade out at 4:07,2024-04-27,Connie Wang
Everybody Wants You,Red Hearse,Everybody Wants You.Red Hearse,1,2,96,Late night,0.8,3,5,Rising,,2024-04-27,Connie Wang
All to Myself,Johnny Stimson,All to Myself.Johnny Stimson,2,3,98,R&B,0.5,2,2,Rising,,2024-04-27,Connie Wang
Bliss - Acoustic Version,Billy Raffoul,Bliss - Acoustic Version.Billy Raffoul,2,2,83,Singer songwriter,1.0,1,3,None,,2024-04-27,Connie Wang
What Was I Made For?,Billie Eilish,What Was I Made For?.Billie Eilish,1,1,79,Drama pop,0.8,3,3,None,End at 3:33,2024-04-27,Connie Wang
Cool Again,Shoffy,Cool Again.Shoffy,2,3,90,Pop,0.4,2,5,Rising,,2024-04-21,Connie Wang
911,Teddy Swims,911.Teddy Swims,3,3,99,R&B,0.4,1,4,None,Explicit (lightly),2024-04-21,Connie Wang
Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix,"Ally Brooke,A Boogie Wit da Hoodie,R3HAB","Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix.Ally Brooke,A Boogie Wit da Hoodie,R3HAB",3,4,100,Pop,0.2,2,2,Rising,Latin rhythm,2024-04-21,Connie Wang
Push,EquallyOpposite,Push.EquallyOpposite,3,3,104,Rap,0.3,2,3,None,,2024-04-21,Connie Wang
You're the One That I Want,"Dylan Rockoff,Caroline Kole","You're the One That I Want.Dylan Rockoff,Caroline Kole",3,2,85,"Singer songwriter, Covers",0.9,1,4,Falling,,2024-04-21,Connie Wang
Death By A Thousand Cuts,Taylor Swift,Death By A Thousand Cuts.Taylor Swift,2,3,94,Pop,0.4,2,5,Rising,,2024-04-21,Connie Wang
Tea,Noah Davis,Tea.Noah Davis,3,3,88,Baddie pop,0.3,1,3,None,Explicit,2024-04-21,Connie Wang
Sing It With Me,"JP Cooper,Astrid S","Sing It With Me.JP Cooper,Astrid S",3,4,112,Pop,0.4,2,3,Rising,,2024-04-21,Connie Wang
Semblant,Laurence Nerbonne,Semblant.Laurence Nerbonne,3,3,98,"Pop, Non-english",0.3,1,2,None,,2024-04-21,Connie Wang
Orion's Belt,Sabrina Claudio,Orion's Belt.Sabrina Claudio,2,2,84,R&B,0.4,2,4,None,,2024-04-21,Connie Wang
Fortnight (feat. Post Malone),"Taylor Swift,Post Malone","Fortnight (feat. Post Malone).Taylor Swift,Post Malone",2,3,96,Pop,0.4,1,4,Rising,,2024-04-21,Connie Wang
Wonderwall,TEEMID,Wonderwall.TEEMID,3,3,100,"Electropop, Covers",0.1,2,3,None,,2024-04-21,Connie Wang
16 Steps,"Martin Jensen,Olivia Holt","16 Steps.Martin Jensen,Olivia Holt",3,4,90,Pop,0.1,1,2,Rising,,2024-04-21,Connie Wang
Paint The Town Red,Doja Cat,Paint The Town Red.Doja Cat,3,3,100,Angry Cali Late Nite,0.4,2,4,None,Explicit,2024-04-21,Connie Wang
sun and moon,anees,sun and moon.anees,3,2,90,Singer songwriter,0.8,2,4,Falling,,2024-04-21,Connie Wang
Christina's Song,MAX,Christina's Song.MAX,2,2,88,"Pop, R&B",0.5,2,3,None,,2024-04-21,Connie Wang
AFU,CAL,AFU.CAL,2,3,94,Pop,0.5,1,4,Rising,Explicit,2024-04-21,Connie Wang
People I Don't Like,UPSAHL,People I Don't Like.UPSAHL,3,3,90,Baddie pop,0.2,1,4,None,,2024-04-21,Connie Wang
Lie,Sasha Alex Sloan,Lie.Sasha Alex Sloan,3,2,104,Singer songwriter,0.4,2,2,Falling,,2024-04-21,Connie Wang
Call Your Mom (with Lizzy McAlpine),"Noah Kahan,Lizzy McAlpine","Call Your Mom (with Lizzy McAlpine).Noah Kahan,Lizzy McAlpine",1,2,87,Singer songwriter,0.8,3,2,Rising,,2024-04-21,Connie Wang
RED,Blake and Miles,RED.Blake and Miles,2,3,95,"Pop, Rap",0.4,2,3,Rising,Explicit,2024-04-21,Connie Wang
Messy,Kiiara,Messy.Kiiara,3,3,108,Electropop,0.2,2,4,None,,2024-04-21,Connie Wang
What It Is (Solo Version),Doechii,What It Is (Solo Version).Doechii,3,3,86,"Rap, Baddie pop",0.6,2,3,None,Explicit,2024-04-21,Connie Wang
Brain,Alia,Brain.Alia,3,3,90,Electropop,0.2,2,3,None,,2024-04-21,Connie Wang
Ignore Me,Betty Who,Ignore Me.Betty Who,3,2,102,Pop,0.6,1,4,Falling,,2024-04-21,Connie Wang
Quick Musical Doodles,Two Feet,Quick Musical Doodles.Two Feet,2,2,85,Baddie pop,0.1,4,5,None,,2024-04-21,Connie Wang
Bliss - Acoustic Version,Billy Raffoul,Bliss - Acoustic Version.Billy Raffoul,2,2,83,Singer songwriter,1.0,1,3,None,,2024-04-21,Connie Wang
Everybody Wants You,Red Hearse,Everybody Wants You.Red Hearse,1,2,96,Late night,0.8,3,5,Rising,,2024-04-21,Connie Wang
L*** Is a Bad Word,Kiiara,L*** Is a Bad Word.Kiiara,2,3,84,Electropop,0.1,2,4,Rising,,2024-04-21,Connie Wang
Hate Me Too,Emily Burns,Hate Me Too.Emily Burns,3,3,86,Pop,0.9,2,3,None,,2024-04-21,Connie Wang
Forever,Ben Harper,Forever.Ben Harper,2,2,85,Singer songwriter,1.0,1,5,None,,2024-04-21,Connie Wang
Au soleil - Souvenirs d'été,Marie-Flore,Au soleil - Souvenirs d'été.Marie-Flore,2,3,100,"Late night, Non-english",0.2,3,2,Rising,Very light latin beat,2024-04-21,Connie Wang
Still in da Disco - Maga Remix,"HEDEGAARD,Maga","Still in da Disco - Maga Remix.HEDEGAARD,Maga",4,3,93,"Electropop, Angry Cali Late Nite",0.1,3,2,Falling,,2024-04-21,Connie Wang
Spiritual Man,LANKS,Spiritual Man.LANKS,2,3,94,Electropop,0.2,1,2,Rising,,2024-04-21,Connie Wang
Twisted,Nahko And Medicine For The People,Twisted.Nahko And Medicine For The People,2,2,82,R&B,0.8,3,2,None,,2024-04-21,Connie Wang
Ring Pop - Stripped,Jax,Ring Pop - Stripped.Jax,1,1,85,Singer songwriter,0.9,4,2,None,,2024-04-21,Connie Wang
Five More Minutes,Jonas Brothers,Five More Minutes.Jonas Brothers,2,2,94,Pop,0.3,1,4,None,,2024-04-21,Connie Wang
Talia,King Princess,Talia.King Princess,2,2,91,Pop,0.4,3,4,None,,2024-04-21,Connie Wang
Another Love,Blush'ko,Another Love.Blush'ko,2,3,97,Electropop,0.2,3,4,Rising,,2024-04-21,Connie Wang
Flatline,Two Feet,Flatline.Two Feet,3,4,107,"Baddie pop, Electropop",0.2,2,3,Rising,,2024-04-21,Connie Wang
Si No Estás,iñigo quintero,Si No Estás.iñigo quintero,3,2,98,"Singer songwriter, Non-english",0.7,2,2,Falling,,2024-04-21,Connie Wang
Ain't No Sunshine,Pink Sweat$,Ain't No Sunshine.Pink Sweat$,2,2,80,"Oldies, Covers",0.7,3,4,None,,2024-04-21,Connie Wang
Technicolour Beat,Oh Wonder,Technicolour Beat.Oh Wonder,1,2,65,"Late night, Electropop",0.6,5,4,Rising,,2024-04-21,Connie Wang
Glass of Whisky,Sara Diamond,Glass of Whisky.Sara Diamond,2,2,84,R&B,0.5,2,4,None,,2024-04-21,Connie Wang
Oxytocin,Chandler Leighton,Oxytocin.Chandler Leighton,3,3,93,Pop,0.3,1,3,None,,2024-04-21,Connie Wang
Goodies (feat. Petey Pablo),"Ciara,Petey Pablo","Goodies (feat. Petey Pablo).Ciara,Petey Pablo",3,3,104,Throwback,0.2,2,5,None,,2024-04-21,Connie Wang
I Guess,"Saint Levant,Playyard","I Guess.Saint Levant,Playyard",3,2,70,"R&B, Baddie pop, Rap",0.4,4,2,Falling,,2024-04-21,Connie Wang
Summertime Magic,Ife Kehinde,Summertime Magic.Ife Kehinde,2,2,87,"Singer songwriter, R&B",0.9,4,4,None,,2024-04-21,Connie Wang
Pretty Little Fears (feat. J. Cole),"6LACK,J. Cole","Pretty Little Fears (feat. J. Cole).6LACK,J. Cole",2,1,96,Rap,0.3,3,2,Falling,,2024-04-21,Connie Wang
California Rain (Intimate),Devin Kennedy,California Rain (Intimate).Devin Kennedy,1,1,74,Singer songwriter,1.0,3,2,None,,2024-04-21,Connie Wang
Dive,Olivia Dean,Dive.Olivia Dean,2,2,90,Funk pop,0.5,2,2,None,,2024-04-21,Connie Wang
Nothing Left (feat. Will Heard),"Kygo,Will Heard","Nothing Left (feat. Will Heard).Kygo,Will Heard",2,3,79,Electropop,0.2,3,3,Rising,,2024-04-21,Connie Wang
To Die For,Sam Smith,To Die For.Sam Smith,2,2,86,Drama pop,0.5,3,5,None,,2024-04-21,Connie Wang
Marvins Room,Conor Maynard,Marvins Room.Conor Maynard,1,1,81,"Covers, R&B",0.8,4,2,None,,2024-04-21,Connie Wang
Summer on You,PRETTYMUCH,Summer on You.PRETTYMUCH,3,3,100,"Singer songwriter, Pop",0.6,1,4,None,,2024-04-03,Connie Wang
Show Up,Aiza,Show Up.Aiza,3,3,86,Pop,0.4,1,2,None,,2024-04-03,Connie Wang
Why Don't You Do Right,"Beth Hart, Joe Bonamassa","Why Don't You Do Right.Beth Hart, Joe Bonamassa",3,3,106,Jazz blues,0.8,2,5,None,,2024-04-03,Connie Wang
Brain,Alia,Brain.Alia,3,3,90,Electropop,0.2,2,3,None,,2024-04-03,Connie Wang
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT","Let Me Go (with Alesso, Florida Georgia Line & watt).Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",3,4,103,Pop,0.4,1,5,Rising,,2024-04-03,Connie Wang
Fire for You,Cannons,Fire for You.Cannons,3,2,102,Funk pop,0.3,1,2,Falling,,2024-04-03,Connie Wang
Surrender,Daniel Johns,Surrender.Daniel Johns,2,3,94,Late night,0.4,2,3,Rising,,2024-04-03,Connie Wang
When Somebody Loves You Back,Teddy Pendergrass,When Somebody Loves You Back.Teddy Pendergrass,3,3,98,Oldies,0.7,1,3,None,Fade out at 3:44,2024-04-03,Connie Wang
Purple Hat,Sofi Tukker,Purple Hat.Sofi Tukker,3,4,94,"Electropop, Baddie pop",0.2,2,5,Rising,,2024-04-03,Connie Wang
Lil Boo Thang,Paul Russell,Lil Boo Thang.Paul Russell,4,4,114,Funk pop,0.4,1,4,None,Super short,2024-04-03,Connie Wang
Streetlights on Mars,Jackson Penn,Streetlights on Mars.Jackson Penn,3,3,91,Pop,0.4,2,4,None,,2024-04-03,Connie Wang
Si No Estás,iñigo quintero,Si No Estás.iñigo quintero,3,2,98,"Singer songwriter, Non-english",0.7,2,2,Falling,,2024-04-03,Connie Wang
Hound Dog - The Voice Performance,Kylie Rothfield,Hound Dog - The Voice Performance.Kylie Rothfield,2,4,85,"Blues, Covers",0.8,1,5,Rising,,2024-04-03,Connie Wang
Greedy,Ariana Grande,Greedy.Ariana Grande,3,4,110,"Funk pop, R&B",0.5,2,3,Rising,,2024-04-03,Connie Wang
贴贴,"胥睿,杨淳","贴贴.胥睿,杨淳",3,3,92,"Singer songwriter, Non-english",0.7,1,1,None,,2024-04-03,Connie Wang
Before I Fall,Bob Moses,Before I Fall.Bob Moses,2,2,86,"Late night, Funk pop",0.4,2,3,None,,2024-04-03,Connie Wang
Human Touch,Betty Who,Human Touch.Betty Who,2,3,103,Pop,0.3,1,5,Rising,,2024-04-03,Connie Wang
Mrs. Bubblegum,Tyga,Mrs. Bubblegum.Tyga,3,3,88,Angry Cali Late Nite,0.4,2,3,None,,2024-04-03,Connie Wang
D Is For Denny,Kirk Fletcher,D Is For Denny.Kirk Fletcher,3,3,109,Blues ,0.9,1,3,None,,2024-04-03,Connie Wang
"Head On Fire (feat. Sigrid, King Princess and MØ)","Griff,King Princess,MØ,Sigrid","Head On Fire (feat. Sigrid, King Princess and MØ).Griff,King Princess,MØ,Sigrid",4,3,96,Pop,0.3,2,2,Falling,,2024-04-03,Connie Wang
Selfish,Jordan Davis,Selfish.Jordan Davis,3,2,90,Country,0.8,1,3,Falling,,2024-04-03,Connie Wang
Nice 'n' Easy - Remastered 1999,Frank Sinatra,Nice 'n' Easy - Remastered 1999.Frank Sinatra,2,3,109,Jazz blues,0.8,2,4,Rising,Swung,2024-04-03,Connie Wang
Jealous,Ingrid Michaelson,Jealous.Ingrid Michaelson,3,3,97,Pop,0.3,2,4,None,,2024-04-03,Connie Wang
No Scrubs,TLC,No Scrubs.TLC,3,3,93,"Throwback, R&B",0.4,2,5,None,Explicit (lightly),2024-04-03,Connie Wang
SloMo,Chanel,SloMo.Chanel,3,3,105,"Pop, Non-english",0.2,3,3,None,Latin rhythm,2024-04-03,Connie Wang
My Chick Bad,"Ludacris,Nicki Minaj","My Chick Bad.Ludacris,Nicki Minaj",,,,,,,,,,2024-04-03,Connie Wang
Be Honest (feat. Burna Boy),"Jorja Smith,Burna Boy","Be Honest (feat. Burna Boy).Jorja Smith,Burna Boy",3,3,98,Afropop,0.5,2,2,None,,2024-04-03,Connie Wang
Bliss - Acoustic Version,Billy Raffoul,Bliss - Acoustic Version.Billy Raffoul,2,2,83,Singer songwriter,1.0,1,3,None,,2024-04-03,Connie Wang
Bonafide (feat. Chiiild),"Emotional Oranges,Chiiild","Bonafide (feat. Chiiild).Emotional Oranges,Chiiild",2,3,98,R&B,0.5,1,3,Rising,,2024-04-03,Connie Wang
crossed the line,Jessica Baio,crossed the line.Jessica Baio,3,4,110,"Electropop, Baddie pop",0.1,3,4,Rising,,2024-04-03,Connie Wang
Move,Jany Green,Move.Jany Green,3,3,104,Funk pop,0.5,2,3,None,,2024-04-03,Connie Wang
Come On Get Higher,Matt Nathanson,Come On Get Higher.Matt Nathanson,3,2,92,"Throwback, Singer songwriter",0.8,1,5,Falling,,2024-04-03,Connie Wang
Yanghwa BRDG,Zion.T,Yanghwa BRDG.Zion.T,1,2,87,"Singer songwriter, Non-english",0.6,2,2,Rising,,2024-04-03,Connie Wang
go with u,BAYNK,go with u.BAYNK,2,3,109,Electropop,0.2,3,4,Rising,,2024-04-03,Connie Wang
Danger - Original Mix,Blahzay Blahzay,Danger - Original Mix.Blahzay Blahzay,3,3,90,"Hip hop, Oldies, Rap",0.8,1,2,None,Explicit,2024-04-03,Connie Wang
Want It Too,Pretty Sister,Want It Too.Pretty Sister,3,2,85,Funk pop,0.5,2,2,Falling,,2024-04-03,Connie Wang
Lost in Space,Emmit Fenn,Lost in Space.Emmit Fenn,2,2,101,Late night,0.2,1,5,None,,2024-04-03,Connie Wang
Bed on Fire - Stripped,Teddy Swims,Bed on Fire - Stripped.Teddy Swims,1,1,80,Drama pop,1.0,4,5,None,,2024-04-03,Connie Wang
Do I Wanna Know,"A Girl Named Sue,JPL,Tora","Do I Wanna Know.A Girl Named Sue,JPL,Tora",2,3,90,"Pop, Covers",0.4,1,3,Rising,,2024-04-03,Connie Wang
tere bina - Acoustic,"Zaeden,Jonita Gandhi","tere bina - Acoustic.Zaeden,Jonita Gandhi",3,3,108,"Singer songwriter, Non-english",0.9,2,2,None,,2024-04-03,Connie Wang
Lean On Me,"Cheat Codes,Tinashe","Lean On Me.Cheat Codes,Tinashe",3,4,102,Electropop,0.1,2,4,Rising,A couple tricky stops,2024-04-03,Connie Wang
Lost,Blake Rose,Lost.Blake Rose,3,3,95,Pop,0.2,1,5,None,,2024-04-03,Connie Wang
how deep?,Tai Verdes,how deep?.Tai Verdes,2,2,97,"Pop, Rap",0.4,3,1,None,,2024-04-03,Connie Wang
Over-the-Ocean Call,Lizzy McAlpine,Over-the-Ocean Call.Lizzy McAlpine,2,2,92,Pop,0.8,2,3,None,,2024-04-03,Connie Wang
Tricky,"Shoffy,Sabrina Carpenter","Tricky.Shoffy,Sabrina Carpenter",2,3,90,Funk pop,0.4,2,4,Rising,,2024-04-03,Connie Wang
Beyonce,AMARNI,Beyonce.AMARNI,3,3,100,"Angry Cali Late Nite, Baddie pop",0.2,3,3,None,Explicit,2024-04-03,Connie Wang
Don't Speak,"Chaël,kaii","Don't Speak.Chaël,kaii",2,3,108,"Electropop, Covers",0.2,4,2,Rising,,2024-04-03,Connie Wang
The Mates of Soul (Remastered),Taylor John Williams,The Mates of Soul (Remastered).Taylor John Williams,1,2,95,Oldies,0.9,1,5,Rising,,2024-04-03,Connie Wang
do u really? (with Ruth B.),"Lyn Lapid,Ruth B.","do u really? (with Ruth B.).Lyn Lapid,Ruth B.",2,2,87,Singer songwriter,0.6,2,4,None,,2024-04-03,Connie Wang
Eyes Closed,Ed Sheeran,Eyes Closed.Ed Sheeran,2,3,107,Singer songwriter,0.5,2,5,Rising,,2024-03-27,Connie Wang
Oxytocin,Chandler Leighton,Oxytocin.Chandler Leighton,3,3,93,Pop,0.3,1,3,None,,2024-03-27,Connie Wang
Au soleil - Souvenirs d'été,Marie-Flore,Au soleil - Souvenirs d'été.Marie-Flore,2,3,100,"Late night, Non-english",0.2,3,2,Rising,Very light latin beat,2024-03-27,Connie Wang
I'm a Slave 4 U,Britney Spears,I'm a Slave 4 U.Britney Spears,3,4,110,Pop,0.4,3,4,Rising,,2024-03-27,Connie Wang
Anti-Hero - Acoustic Version,Taylor Swift,Anti-Hero - Acoustic Version.Taylor Swift,3,3,97,Singer songwriter,0.9,2,5,None,,2024-03-27,Connie Wang
Blue Moon,Flora Martínez,Blue Moon.Flora Martínez,2,3,110,"Jazz blues, Covers",1.0,2,3,Rising,,2024-03-27,Connie Wang
Take Me Where Your Heart Is,Q,Take Me Where Your Heart Is.Q,2,2,90,R&B,0.5,1,3,None,,2024-03-27,Connie Wang
Times Square,Neon Dreams,Times Square.Neon Dreams,2,1,94,Drama pop,0.8,3,5,Falling,,2024-03-27,Connie Wang
Oh My God,Adele,Oh My God.Adele,2,3,88,Pop,0.1,2,4,Rising,,2024-03-27,Connie Wang
Like That,"GRACEY,Alexander 23","Like That.GRACEY,Alexander 23",3,4,114,Pop,0.4,2,2,Rising,,2024-03-27,Connie Wang
RED,Blake and Miles,RED.Blake and Miles,2,3,95,"Pop, Rap",0.4,2,3,Rising,Explicit,2024-03-27,Connie Wang
You're the One That I Want,"Dylan Rockoff,Caroline Kole","You're the One That I Want.Dylan Rockoff,Caroline Kole",3,2,85,"Singer songwriter, Covers",0.9,1,4,Falling,,2024-03-27,Connie Wang
Johnnie Walker,Spritely,Johnnie Walker.Spritely,1,2,97,Pop,0.5,2,4,Rising,Explicit (lightly),2024-03-27,Connie Wang
Candy,Ruben,Candy.Ruben,2,3,103,Pop,0.3,2,5,Rising,,2024-03-27,Connie Wang
R U Mine?,Arctic Monkeys,R U Mine?.Arctic Monkeys,4,3,97,Rock,0.7,5,2,Falling,,2024-03-27,Connie Wang
Un Deux Trois,MUNYA,Un Deux Trois.MUNYA,3,4,117,"Pop, Non-english",0.2,3,2,Rising,,2024-03-27,Connie Wang
Shine On,Eric Bibb,Shine On.Eric Bibb,3,3,93,Country,0.8,2,4,None,,2024-03-27,Connie Wang
