Artist,Song,notes,note_source
"FINNEAS, Marian Hill",I Lost A Friend (Marian Hill Remix),Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Ariana Grande,"yes, and? (Clean)",2024-01-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Usher, FP",Moving Mountains (FP Remix),Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Dean Keaton & Cole Bauer,Unread,Top Picks: Khayree Jones,GSDJ - https://proswingdjs.com/
Flo Rida Ft Robin Thicke,"I Don’t Like It, I Love It",2015-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
"Kygo, Whitney Houston",Higher Love,2019-08-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Gims & Sting,Reste,2020-02-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Roeds,Feelin,2019-01-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
5 Seconds Of Summer,Easier [Charlie Puth Remix],2019-09-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Alice Merton,Why So Serious,2018-11-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
John Legend,A Good Night (Clean),2018-06-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Rolling Stones,Ride Em On Down,2017-01-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Berk and The Virtual Band,Billie Jean,2009-11-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Rihanna & Chris Brown,Nobody’s Business,2012-12-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Wicked Game,Run and Hide,2017-04-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Kem,Downtown Ft Snoop Dogg,2014-09-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Conor Maynard,Hate How Much I Love You,2019-11-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Rukhsana Merrise,Come My Way,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Far East Movement,Rocketeer,2011-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
,Nobody Niia,2017-05-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Usher,Scream,2012-07-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Usher,She Came To Give It TO You,2014-10-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Shaun Escoffery,Aht Uh Mi Hed,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Maroon 5 Ft Future,Cold,2017-04-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Tom Misch,Crazy Dream,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Ray Sharpe,Alva’s Baby Blues,GSDJ Top 19 Slow “Blues” ,GSDJ - https://proswingdjs.com/
Ed Sheeran,Bad Habits,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Calvin Harris Ft Pharrel Williams,Feels,2017-07-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Iggy Azalea, Quavo",Savior,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
William Singe,Let Me Love You,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
Caro Emerald,Just One Dance,Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
Beyonce,Blow,2013-12-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Tove Lo,Habits (Stay High),2014-07-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Aaliyah,Try Again,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
